timestamp,ticker,action,quantity,exchange,price,commission
2009-01-06 00:00:00,IEI,SLD,2000,ARCA,115.01,10.0
2009-01-06 00:00:00,TLT,BOT,2456,ARCA,112.21,12.28
2009-01-07 00:00:00,IEI,BOT,2000,ARCA,115.19,10.0
2009-01-07 00:00:00,TLT,SLD,2456,ARCA,112.65,12.28
2009-01-14 00:00:00,IEI,BOT,2000,ARCA,116.32,10.0
2009-01-14 00:00:00,TLT,SLD,2405,ARCA,115.9,12.025
2009-01-15 00:00:00,IEI,SLD,2000,ARCA,116.16,10.0
2009-01-15 00:00:00,TLT,BOT,2405,ARCA,116.09,12.025
2009-01-16 00:00:00,IEI,SLD,2000,ARCA,115.77,10.0
2009-01-16 00:00:00,TLT,BOT,2427,ARCA,114.3,12.135
2009-01-20 00:00:00,IEI,BOT,2000,ARCA,115.79,10.0
2009-01-20 00:00:00,TLT,SLD,2427,ARCA,114.28,12.135
2009-01-21 00:00:00,IEI,SLD,2000,ARCA,115.2,10.0
2009-01-21 00:00:00,TLT,BOT,2494,ARCA,110.67,12.47
2009-01-23 00:00:00,IEI,BOT,2000,ARCA,114.85,10.0
2009-01-23 00:00:00,TLT,SLD,2494,ARCA,107.69,12.47
2009-01-27 00:00:00,IEI,BOT,2000,ARCA,114.99,10.0
2009-01-27 00:00:00,TLT,SLD,2522,ARCA,109.26,12.61
2009-01-28 00:00:00,IEI,SLD,2000,ARCA,114.44,10.0
2009-01-28 00:00:00,TLT,BOT,2522,ARCA,106.53,12.61
2009-01-29 00:00:00,IEI,SLD,2000,ARCA,113.97,10.0
2009-01-29 00:00:00,TLT,BOT,2624,ARCA,104.08,13.12
2009-01-30 00:00:00,IEI,BOT,2000,ARCA,114.08,10.0
2009-01-30 00:00:00,TLT,SLD,2624,ARCA,103.75,13.12
2009-02-02 00:00:00,IEI,BOT,2000,ARCA,114.37,10.0
2009-02-02 00:00:00,TLT,SLD,2599,ARCA,105.39,12.995
2009-02-03 00:00:00,IEI,SLD,2000,ARCA,113.43,10.0
2009-02-03 00:00:00,TLT,BOT,2599,ARCA,102.88,12.995
2009-02-10 00:00:00,IEI,BOT,2000,ARCA,113.79,10.0
2009-02-10 00:00:00,TLT,SLD,2600,ARCA,104.85,13.0
2009-02-12 00:00:00,IEI,SLD,2000,ARCA,113.95,10.0
2009-02-12 00:00:00,TLT,BOT,2600,ARCA,105.21,13.0
2009-02-13 00:00:00,IEI,SLD,2000,ARCA,113.33,10.0
2009-02-13 00:00:00,TLT,BOT,2650,ARCA,102.41,13.25
2009-02-17 00:00:00,IEI,BOT,2000,ARCA,114.39,10.0
2009-02-17 00:00:00,TLT,SLD,2650,ARCA,105.6,13.25
2009-02-19 00:00:00,IEI,SLD,2000,ARCA,113.58,10.0
2009-02-19 00:00:00,TLT,BOT,2643,ARCA,102.92,13.215
2009-02-20 00:00:00,IEI,BOT,2000,ARCA,113.82,10.0
2009-02-20 00:00:00,TLT,SLD,2643,ARCA,103.92,13.215
2009-02-23 00:00:00,IEI,BOT,2000,ARCA,113.71,10.0
2009-02-23 00:00:00,TLT,SLD,2597,ARCA,104.88,12.985
2009-02-24 00:00:00,IEI,SLD,2000,ARCA,113.47,10.0
2009-02-24 00:00:00,TLT,BOT,2597,ARCA,104.77,12.985
2009-02-26 00:00:00,IEI,SLD,2000,ARCA,112.71,10.0
2009-02-26 00:00:00,TLT,BOT,2634,ARCA,102.47,13.17
2009-03-02 00:00:00,IEI,BOT,2000,ARCA,113.61,10.0
2009-03-02 00:00:00,TLT,SLD,2634,ARCA,103.28,13.17
2009-03-05 00:00:00,IEI,BOT,2000,ARCA,113.71,10.0
2009-03-05 00:00:00,TLT,SLD,2593,ARCA,104.96,12.965
2009-03-06 00:00:00,IEI,SLD,2000,ARCA,113.38,10.0
2009-03-06 00:00:00,TLT,BOT,2593,ARCA,104.26,12.965
2009-03-10 00:00:00,IEI,SLD,2000,ARCA,112.81,10.0
2009-03-10 00:00:00,TLT,BOT,2656,ARCA,101.66,13.28
2009-03-11 00:00:00,IEI,BOT,2000,ARCA,112.97,10.0
2009-03-11 00:00:00,TLT,SLD,2656,ARCA,102.76,13.28
2009-03-13 00:00:00,IEI,SLD,2000,ARCA,113.46,10.0
2009-03-13 00:00:00,TLT,BOT,2643,ARCA,102.73,13.215
2009-03-17 00:00:00,IEI,BOT,2000,ARCA,112.77,10.0
2009-03-17 00:00:00,TLT,SLD,2643,ARCA,100.56,13.215
2009-03-18 00:00:00,IEI,BOT,2000,ARCA,114.85,10.0
2009-03-18 00:00:00,TLT,SLD,2634,ARCA,104.37,13.17
2009-03-19 00:00:00,IEI,SLD,2000,ARCA,114.56,10.0
2009-03-19 00:00:00,TLT,BOT,2634,ARCA,104.5,13.17
2009-03-24 00:00:00,IEI,BOT,2000,ARCA,114.21,10.0
2009-03-24 00:00:00,TLT,SLD,2628,ARCA,104.0,13.14
2009-03-25 00:00:00,IEI,SLD,2000,ARCA,113.92,10.0
2009-03-25 00:00:00,TLT,BOT,2628,ARCA,102.6,13.14
2009-03-26 00:00:00,IEI,BOT,2000,ARCA,114.19,10.0
2009-03-26 00:00:00,TLT,SLD,2633,ARCA,103.79,13.165
2009-03-27 00:00:00,IEI,SLD,2000,ARCA,114.2,10.0
2009-03-27 00:00:00,TLT,BOT,2633,ARCA,104.56,13.165
2009-04-01 00:00:00,IEI,BOT,2000,ARCA,114.73,10.0
2009-04-01 00:00:00,TLT,SLD,2579,ARCA,106.37,12.895
2009-04-02 00:00:00,IEI,SLD,2000,ARCA,114.26,10.0
2009-04-02 00:00:00,TLT,BOT,2579,ARCA,105.07,12.895
2009-04-03 00:00:00,IEI,SLD,2000,ARCA,113.39,10.0
2009-04-03 00:00:00,TLT,BOT,2635,ARCA,102.92,13.175
2009-04-06 00:00:00,IEI,BOT,2000,ARCA,113.25,10.0
2009-04-06 00:00:00,TLT,SLD,2635,ARCA,102.48,13.175
2009-04-08 00:00:00,IEI,BOT,2000,ARCA,113.55,10.0
2009-04-08 00:00:00,TLT,SLD,2620,ARCA,103.65,13.1
2009-04-09 00:00:00,IEI,SLD,2000,ARCA,113.31,10.0
2009-04-09 00:00:00,TLT,BOT,2620,ARCA,102.35,13.1
2009-04-20 00:00:00,IEI,BOT,2000,ARCA,113.78,10.0
2009-04-20 00:00:00,TLT,SLD,2636,ARCA,103.24,13.18
2009-04-21 00:00:00,IEI,SLD,2000,ARCA,113.5,10.0
2009-04-21 00:00:00,TLT,BOT,2636,ARCA,102.22,13.18
2009-04-24 00:00:00,IEI,SLD,2000,ARCA,113.18,10.0
2009-04-24 00:00:00,TLT,BOT,2691,ARCA,100.57,13.455
2009-04-27 00:00:00,IEI,BOT,2000,ARCA,113.66,10.0
2009-04-27 00:00:00,TLT,SLD,2691,ARCA,101.0,13.455
2009-04-28 00:00:00,IEI,SLD,2000,ARCA,113.27,10.0
2009-04-28 00:00:00,TLT,BOT,2726,ARCA,99.35,13.63
2009-04-29 00:00:00,IEI,BOT,2000,ARCA,112.92,10.0
2009-04-29 00:00:00,TLT,SLD,2726,ARCA,98.47,13.63
2009-05-07 00:00:00,IEI,SLD,2000,ARCA,112.11,10.0
2009-05-07 00:00:00,TLT,BOT,2827,ARCA,94.71,14.135
2009-05-08 00:00:00,IEI,BOT,2000,ARCA,112.2,10.0
2009-05-08 00:00:00,TLT,SLD,2827,ARCA,94.94,14.135
2009-05-11 00:00:00,IEI,BOT,2000,ARCA,112.76,10.0
2009-05-11 00:00:00,TLT,SLD,2797,ARCA,96.29,13.985
2009-05-12 00:00:00,IEI,SLD,2000,ARCA,112.83,10.0
2009-05-12 00:00:00,TLT,BOT,2797,ARCA,96.64,13.985
2009-05-13 00:00:00,IEI,BOT,2000,ARCA,113.03,10.0
2009-05-13 00:00:00,TLT,SLD,2763,ARCA,97.69,13.815
2009-05-14 00:00:00,IEI,SLD,2000,ARCA,113.1,10.0
2009-05-14 00:00:00,TLT,BOT,2763,ARCA,98.07,13.815
2009-05-18 00:00:00,IEI,SLD,2000,ARCA,112.53,10.0
2009-05-18 00:00:00,TLT,BOT,2784,ARCA,96.52,13.92
2009-05-19 00:00:00,IEI,BOT,2000,ARCA,112.47,10.0
2009-05-19 00:00:00,TLT,SLD,2784,ARCA,96.01,13.92
2009-05-20 00:00:00,IEI,BOT,2000,ARCA,112.81,10.0
2009-05-20 00:00:00,TLT,SLD,2777,ARCA,97.02,13.885
2009-05-21 00:00:00,IEI,SLD,2000,ARCA,112.29,10.0
2009-05-21 00:00:00,TLT,BOT,2777,ARCA,94.58,13.885
2009-05-22 00:00:00,IEI,SLD,2000,ARCA,111.98,10.0
2009-05-22 00:00:00,TLT,BOT,2859,ARCA,93.53,14.295
2009-05-28 00:00:00,IEI,BOT,2000,ARCA,111.06,10.0
2009-05-28 00:00:00,TLT,SLD,2859,ARCA,91.8,14.295
2009-05-29 00:00:00,IEI,BOT,2000,ARCA,111.74,10.0
2009-05-29 00:00:00,TLT,SLD,2834,ARCA,94.17,14.17
2009-06-01 00:00:00,IEI,SLD,2000,ARCA,110.53,10.0
2009-06-01 00:00:00,TLT,BOT,2834,ARCA,91.09,14.17
2009-06-04 00:00:00,IEI,SLD,2000,ARCA,110.47,10.0
2009-06-04 00:00:00,TLT,BOT,2910,ARCA,90.53,14.55
2009-06-05 00:00:00,IEI,BOT,2000,ARCA,109.17,10.0
2009-06-05 00:00:00,TLT,SLD,2910,ARCA,89.84,14.55
2009-06-10 00:00:00,IEI,SLD,2000,ARCA,108.79,10.0
2009-06-10 00:00:00,TLT,BOT,2942,ARCA,88.19,14.71
2009-06-11 00:00:00,IEI,BOT,2000,ARCA,109.19,10.0
2009-06-11 00:00:00,TLT,SLD,2942,ARCA,89.17,14.71
2009-06-16 00:00:00,IEI,BOT,2000,ARCA,109.93,10.0
2009-06-16 00:00:00,TLT,SLD,2839,ARCA,92.36,14.195
2009-06-17 00:00:00,IEI,SLD,2000,ARCA,110.03,10.0
2009-06-17 00:00:00,TLT,BOT,2839,ARCA,91.84,14.195
2009-06-18 00:00:00,IEI,SLD,2000,ARCA,109.2,10.0
2009-06-18 00:00:00,TLT,BOT,2879,ARCA,90.45,14.395
2009-06-19 00:00:00,IEI,BOT,2000,ARCA,109.39,10.0
2009-06-19 00:00:00,TLT,SLD,2879,ARCA,91.69,14.395
2009-06-23 00:00:00,IEI,BOT,2000,ARCA,109.93,10.0
2009-06-23 00:00:00,TLT,SLD,2799,ARCA,93.67,13.995
2009-06-24 00:00:00,IEI,SLD,2000,ARCA,109.82,10.0
2009-06-24 00:00:00,TLT,BOT,2799,ARCA,92.73,13.995
2009-06-25 00:00:00,IEI,BOT,2000,ARCA,110.62,10.0
2009-06-25 00:00:00,TLT,SLD,2794,ARCA,94.43,13.97
2009-06-26 00:00:00,IEI,SLD,2000,ARCA,110.77,10.0
2009-06-26 00:00:00,TLT,BOT,2794,ARCA,94.59,13.97
2009-07-08 00:00:00,IEI,BOT,2000,ARCA,112.13,10.0
2009-07-08 00:00:00,TLT,SLD,2768,ARCA,96.5,13.84
2009-07-09 00:00:00,IEI,SLD,2000,ARCA,111.72,10.0
2009-07-09 00:00:00,TLT,BOT,2768,ARCA,95.35,13.84
2009-07-14 00:00:00,IEI,SLD,2000,ARCA,111.65,10.0
2009-07-14 00:00:00,TLT,BOT,2826,ARCA,94.1,14.13
2009-07-16 00:00:00,IEI,BOT,2000,ARCA,111.08,10.0
2009-07-16 00:00:00,TLT,SLD,2826,ARCA,92.67,14.13
2009-07-17 00:00:00,IEI,SLD,2000,ARCA,110.83,10.0
2009-07-17 00:00:00,TLT,BOT,2893,ARCA,91.24,14.465
2009-07-20 00:00:00,IEI,BOT,2000,ARCA,111.1,10.0
2009-07-20 00:00:00,TLT,SLD,2893,ARCA,91.72,14.465
2009-07-21 00:00:00,IEI,BOT,2000,ARCA,111.75,10.0
2009-07-21 00:00:00,TLT,SLD,2845,ARCA,93.55,14.225
2009-07-22 00:00:00,IEI,SLD,2000,ARCA,111.38,10.0
2009-07-22 00:00:00,TLT,BOT,2845,ARCA,92.71,14.225
2009-07-23 00:00:00,IEI,SLD,2000,ARCA,110.58,10.0
2009-07-23 00:00:00,TLT,BOT,2894,ARCA,91.01,14.47
2009-07-24 00:00:00,IEI,BOT,2000,ARCA,110.75,10.0
2009-07-24 00:00:00,TLT,SLD,2894,ARCA,91.45,14.47
2009-07-27 00:00:00,IEI,SLD,2000,ARCA,110.53,10.0
2009-07-27 00:00:00,TLT,BOT,2912,ARCA,90.4,14.56
2009-07-28 00:00:00,IEI,BOT,2000,ARCA,110.46,10.0
2009-07-28 00:00:00,TLT,SLD,2912,ARCA,91.2,14.56
2009-07-30 00:00:00,IEI,BOT,2000,ARCA,110.51,10.0
2009-07-30 00:00:00,TLT,SLD,2830,ARCA,93.0,14.15
2009-08-03 00:00:00,IEI,SLD,2000,ARCA,110.22,10.0
2009-08-03 00:00:00,TLT,BOT,2830,ARCA,93.06,14.15
2009-08-05 00:00:00,IEI,SLD,2000,ARCA,109.89,10.0
2009-08-05 00:00:00,TLT,BOT,2874,ARCA,90.94,14.37
2009-08-06 00:00:00,IEI,BOT,2000,ARCA,109.91,10.0
2009-08-06 00:00:00,TLT,SLD,2874,ARCA,91.25,14.37
2009-08-10 00:00:00,IEI,BOT,2000,ARCA,109.94,10.0
2009-08-10 00:00:00,TLT,SLD,2854,ARCA,91.62,14.27
2009-08-12 00:00:00,IEI,SLD,2000,ARCA,110.23,10.0
2009-08-12 00:00:00,TLT,BOT,2854,ARCA,91.69,14.27
2009-08-13 00:00:00,IEI,BOT,2000,ARCA,110.73,10.0
2009-08-13 00:00:00,TLT,SLD,2832,ARCA,92.99,14.16
2009-08-14 00:00:00,IEI,SLD,2000,ARCA,110.98,10.0
2009-08-14 00:00:00,TLT,BOT,2832,ARCA,93.35,14.16
2009-08-17 00:00:00,IEI,BOT,2000,ARCA,111.52,10.0
2009-08-17 00:00:00,TLT,SLD,2800,ARCA,94.73,14.0
2009-08-18 00:00:00,IEI,SLD,2000,ARCA,111.28,10.0
2009-08-18 00:00:00,TLT,BOT,2800,ARCA,94.18,14.0
2009-08-21 00:00:00,IEI,SLD,2000,ARCA,110.8,10.0
2009-08-21 00:00:00,TLT,BOT,2810,ARCA,93.77,14.05
2009-08-24 00:00:00,IEI,BOT,2000,ARCA,111.28,10.0
2009-08-24 00:00:00,TLT,SLD,2810,ARCA,95.47,14.05
2009-09-02 00:00:00,IEI,BOT,2000,ARCA,112.37,10.0
2009-09-02 00:00:00,TLT,SLD,2739,ARCA,97.46,13.695
2009-09-03 00:00:00,IEI,SLD,2000,ARCA,112.1,10.0
2009-09-03 00:00:00,TLT,BOT,2739,ARCA,96.86,13.695
2009-09-04 00:00:00,IEI,SLD,2000,ARCA,111.83,10.0
2009-09-04 00:00:00,TLT,BOT,2790,ARCA,95.21,13.95
2009-09-08 00:00:00,IEI,BOT,2000,ARCA,111.75,10.0
2009-09-08 00:00:00,TLT,SLD,2790,ARCA,94.54,13.95
2009-09-10 00:00:00,IEI,BOT,2000,ARCA,112.19,10.0
2009-09-10 00:00:00,TLT,SLD,2771,ARCA,96.17,13.855
2009-09-11 00:00:00,IEI,SLD,2000,ARCA,112.21,10.0
2009-09-11 00:00:00,TLT,BOT,2771,ARCA,96.7,13.855
2009-09-14 00:00:00,IEI,SLD,2000,ARCA,111.98,10.0
2009-09-14 00:00:00,TLT,BOT,2778,ARCA,95.74,13.89
2009-09-15 00:00:00,IEI,BOT,2000,ARCA,111.79,10.0
2009-09-15 00:00:00,TLT,SLD,2778,ARCA,95.25,13.89
2009-09-17 00:00:00,IEI,BOT,2000,ARCA,111.84,10.0
2009-09-17 00:00:00,TLT,SLD,2749,ARCA,96.62,13.745
2009-09-18 00:00:00,IEI,SLD,2000,ARCA,111.47,10.0
2009-09-18 00:00:00,TLT,BOT,2749,ARCA,95.76,13.745
2009-09-25 00:00:00,IEI,BOT,2000,ARCA,112.19,10.0
2009-09-25 00:00:00,TLT,SLD,2720,ARCA,97.98,13.6
2009-09-29 00:00:00,IEI,SLD,2000,ARCA,112.26,10.0
2009-09-29 00:00:00,TLT,BOT,2720,ARCA,98.75,13.6
2009-10-01 00:00:00,IEI,BOT,2000,ARCA,112.86,10.0
2009-10-01 00:00:00,TLT,SLD,2685,ARCA,99.7,13.425
2009-10-02 00:00:00,IEI,SLD,2000,ARCA,112.73,10.0
2009-10-02 00:00:00,TLT,BOT,2685,ARCA,99.01,13.425
2009-10-06 00:00:00,IEI,SLD,2000,ARCA,112.59,10.0
2009-10-06 00:00:00,TLT,BOT,2724,ARCA,98.04,13.62
2009-10-07 00:00:00,IEI,BOT,2000,ARCA,112.97,10.0
2009-10-07 00:00:00,TLT,SLD,2724,ARCA,99.19,13.62
2009-10-08 00:00:00,IEI,SLD,2000,ARCA,112.77,10.0
2009-10-08 00:00:00,TLT,BOT,2725,ARCA,98.15,13.625
2009-10-12 00:00:00,IEI,BOT,2000,ARCA,112.24,10.0
2009-10-12 00:00:00,TLT,SLD,2725,ARCA,96.05,13.625
2009-10-14 00:00:00,IEI,SLD,2000,ARCA,112.13,10.0
2009-10-14 00:00:00,TLT,BOT,2796,ARCA,95.12,13.98
2009-10-15 00:00:00,IEI,BOT,2000,ARCA,111.87,10.0
2009-10-15 00:00:00,TLT,SLD,2796,ARCA,94.68,13.98
2009-10-19 00:00:00,IEI,BOT,2000,ARCA,112.15,10.0
2009-10-19 00:00:00,TLT,SLD,2765,ARCA,96.2,13.825
2009-10-20 00:00:00,IEI,SLD,2000,ARCA,112.51,10.0
2009-10-20 00:00:00,TLT,BOT,2765,ARCA,96.72,13.825
2009-10-26 00:00:00,IEI,SLD,2000,ARCA,111.37,10.0
2009-10-26 00:00:00,TLT,BOT,2819,ARCA,93.72,14.095
2009-10-27 00:00:00,IEI,BOT,2000,ARCA,112.03,10.0
2009-10-27 00:00:00,TLT,SLD,2819,ARCA,95.0,14.095
2009-10-29 00:00:00,IEI,SLD,2000,ARCA,111.95,10.0
2009-10-29 00:00:00,TLT,BOT,2813,ARCA,94.41,14.065
2009-10-30 00:00:00,IEI,BOT,2000,ARCA,112.44,10.0
2009-10-30 00:00:00,TLT,SLD,2813,ARCA,95.78,14.065
2009-11-03 00:00:00,IEI,SLD,2000,ARCA,111.56,10.0
2009-11-03 00:00:00,TLT,BOT,2821,ARCA,94.1,14.105
2009-11-05 00:00:00,IEI,BOT,2000,ARCA,111.64,10.0
2009-11-05 00:00:00,TLT,SLD,2821,ARCA,93.24,14.105
2009-11-16 00:00:00,IEI,BOT,2000,ARCA,112.55,10.0
2009-11-16 00:00:00,TLT,SLD,2819,ARCA,95.02,14.095
2009-11-17 00:00:00,IEI,SLD,2000,ARCA,112.63,10.0
2009-11-17 00:00:00,TLT,BOT,2819,ARCA,95.53,14.095
2009-12-01 00:00:00,IEI,SLD,2000,ARCA,112.97,10.0
2009-12-01 00:00:00,TLT,BOT,2826,ARCA,95.25,14.13
2009-12-02 00:00:00,IEI,BOT,2000,ARCA,112.79,10.0
2009-12-02 00:00:00,TLT,SLD,2826,ARCA,95.33,14.13
2009-12-03 00:00:00,IEI,SLD,2000,ARCA,112.64,10.0
2009-12-03 00:00:00,TLT,BOT,2845,ARCA,94.34,14.225
2009-12-04 00:00:00,IEI,BOT,2000,ARCA,112.02,10.0
2009-12-04 00:00:00,TLT,SLD,2845,ARCA,93.34,14.225
2009-12-10 00:00:00,IEI,SLD,2000,ARCA,112.24,10.0
2009-12-10 00:00:00,TLT,BOT,2904,ARCA,92.1,14.52
2009-12-11 00:00:00,IEI,BOT,2000,ARCA,111.99,10.0
2009-12-11 00:00:00,TLT,SLD,2904,ARCA,92.09,14.52
2009-12-17 00:00:00,IEI,BOT,2000,ARCA,112.23,10.0
2009-12-17 00:00:00,TLT,SLD,2870,ARCA,93.19,14.35
2009-12-18 00:00:00,IEI,SLD,2000,ARCA,111.91,10.0
2009-12-18 00:00:00,TLT,BOT,2870,ARCA,92.79,14.35
2009-12-21 00:00:00,IEI,SLD,2000,ARCA,111.31,10.0
2009-12-21 00:00:00,TLT,BOT,2910,ARCA,91.14,14.55
2009-12-22 00:00:00,IEI,BOT,2000,ARCA,111.0,10.0
2009-12-22 00:00:00,TLT,SLD,2910,ARCA,90.63,14.55
2009-12-24 00:00:00,IEI,SLD,2000,ARCA,110.71,10.0
2009-12-24 00:00:00,TLT,BOT,2940,ARCA,89.71,14.7
2009-12-28 00:00:00,IEI,BOT,2000,ARCA,110.37,10.0
2009-12-28 00:00:00,TLT,SLD,2940,ARCA,89.46,14.7
2010-01-06 00:00:00,IEI,SLD,2000,ARCA,110.44,10.0
2010-01-06 00:00:00,TLT,BOT,2946,ARCA,89.18,14.73
2010-01-07 00:00:00,IEI,BOT,2000,ARCA,110.4,10.0
2010-01-07 00:00:00,TLT,SLD,2946,ARCA,89.33,14.73
2010-01-12 00:00:00,IEI,BOT,2000,ARCA,111.16,10.0
2010-01-12 00:00:00,TLT,SLD,2928,ARCA,90.32,14.64
2010-01-13 00:00:00,IEI,SLD,2000,ARCA,110.79,10.0
2010-01-13 00:00:00,TLT,BOT,2928,ARCA,89.27,14.64
2010-01-14 00:00:00,IEI,BOT,2000,ARCA,111.06,10.0
2010-01-14 00:00:00,TLT,SLD,2919,ARCA,90.52,14.595
2010-01-15 00:00:00,IEI,SLD,2000,ARCA,111.36,10.0
2010-01-15 00:00:00,TLT,BOT,2919,ARCA,91.08,14.595
2010-01-20 00:00:00,IEI,BOT,2000,ARCA,111.46,10.0
2010-01-20 00:00:00,TLT,SLD,2890,ARCA,91.74,14.45
2010-01-21 00:00:00,IEI,SLD,2000,ARCA,111.77,10.0
2010-01-21 00:00:00,TLT,BOT,2890,ARCA,92.16,14.45
2010-02-01 00:00:00,IEI,SLD,2000,ARCA,111.63,10.0
2010-02-01 00:00:00,TLT,BOT,2909,ARCA,91.15,14.545
2010-02-02 00:00:00,IEI,BOT,2000,ARCA,111.68,10.0
2010-02-02 00:00:00,TLT,SLD,2909,ARCA,91.41,14.545
2010-02-03 00:00:00,IEI,SLD,2000,ARCA,111.44,10.0
